title,tag_stem
Alice Through the Looking Glass,alice wonderland collection family fantasy walt disney pictures team todd burton productions roth films legend sequel burtons alice wonderland alice kingsleigh returns underland faces adventure saving hatter
The Shallows,horror drama thriller columbia pictures ombra films weimaraner republic pictures injured surfer stranded buoy needs back shore great white shark stalking might ideas
The Boss,comedy universal pictures titan industry sent prison shes caught insider trading emerges ready rebrand americas latest sweetheart everyone screwed quick forgive forget
A Hologram for the King,comedy drama xfilme creative pool kasbahfilm tanger playtone brica cine primeridian entertainment alan clay struggling american businessman travels saudi arabia sell technology king challenged endless middle eastern bureaucracy perpetually absent monarch suspicious growth back
Snowden,drama thriller endgame entertainment onda entertainment krautpack entertainment employee edward snowden leaks thousands classified documents press
Mother's Day,comedy open road films gulfstream pictures palmstar media capacity pictures movies rice films triad film works beatnik films intersecting stories different moms collide mothers
The Do-Over,action adventure comedy happy madison productions netflix instinctual life bank manager turned upside friend past manipulates faking death taking adventure
The Angry Birds Movie,family animation columbia pictures rovio entertainment sony pictures imageworks rovio mobile rovio animation island populated entirely happy flightless birds almost entirely paradise bird temper problem speedy chuck volatile bomb always outsiders island visited mysterious green piggies unlikely outcasts figure pigs
Free State of Jones,action drama history thriller larger life productions vendian entertainment route films mississippi farmer newt knight serves medic confederate army opposed slavery knight would rather help wounded fight union nephew dies battle newt returns home jones county safeguard family soon branded outlaw deserter forced flee finds refuge group runaway slaves hiding swamps forging alliance slaves farmers knight leads rebellion would forever change history
Bastille Day,action studiocanal films production canal vendome pictures anonymous content anton capital entertainment amazon prime instant video michael mason american pickpocket living paris finds hunted steals contains wallet sean briar field agent case soon realises michael pawn much bigger game also best asset uncover largescale conspiracy
Perfect Strangers,comedy drama lotus production dinner group friends decide share whatever text message phone call receive evening hell breaks loose
London Has Fallen,fallen collection action crime thriller millennium films film gerard butler alan siegel entertainment boyana film studios london prime ministers funeral mike banning discovers plot assassinate attending world leaders
Captain America: Civil War,captain america collection adventure action science fiction studio babelsberg marvel studios walt disney studios motion pictures vitaray dutch productions deluxe digital studios following events ultron collective governments world pass designed regulate superhuman activity polarizes opinion amongst avengers causing factions side iron captain america causes epic battle former allies
Race,action drama forecast pictures solofilms jobro productions film finance trinity race based incredible true story jesse owens legendary athletic superstar whose quest become greatest track field athlete history thrusts onto world stage olympics faces adolf hitlers vision aryan supremacy starring stephan james jason sudeikis jeremy irons carice houten william hurt race enthralling film courage determination tolerance friendship inspiring drama mans fight become olympic legend
Colonia,drama romance history majestic filmproduktion pack filmproduktion iris productions fred films young womans desperate search abducted boyfriend draws infamous colonia dignidad sect nobody ever escaped
Doctor Strange,action adventure fantasy science fiction walt disney pictures marvel studios career destroyed brilliant arrogant surgeon gets lease life sorcerer takes wing trains defend world evil
X-Men: Apocalypse,collection science fiction twentieth century film corporation donners company marvel entertainment harry productions entertainment kinberg genre reemergence worlds first mutant worlddestroyer apocalypse xmen must unite defeat extinction level plan
"Hail, Caesar!",comedy drama mystery universal pictures mike zoss productions working title films tells comedic tale eddie mannix fixer worked hollywood studios story finds work star mysteriously disappears middle filming
